1.0.1	pṛthvī [17: jsjsylg]
1.4.137	aupacchandasika = [11: ssjgg] 1,3 + [12: sBry] 2,4
1.5.1	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.5.2	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
1.5.3	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.4	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.5	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.6	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.7	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.8	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.9	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.10	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.11	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.12	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.5.13	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.14	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
1.5.15	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.5.16	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.17	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.5.18	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.19	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.20	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.21	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.22	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.23	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.24	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.25	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.26	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.5.27	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
